PID,Pitcher,ERA,W,L,APP,GS,SV,IP,H,R,ER,BB,SO,X2B,X3B,HR,AB,BAA,WP,HBP,BK,FB,GB,SF,WHIP,FIP,xFIP,KRATE,BBRATE,GBRATE,FBRATE,BABIP,FB_HR
1,Wonson,2.734523357,0,0,5,5,0,26.33,27,9,8,8,18,4,0,3,102,0.265,4,5,1,25,20,2,1.329282188,4.695138625,4.077971895,16.36363636,7.272727273,23.80952381,29.76190476,0.289156627,12
2,Mondro,7.426856714,1,1,5,3,0,13.33,13,13,11,9,12,3,0,1,53,0.245,2,3,0,25,20,2,1.650412603,4.975468867,5.706901725,19.35483871,14.51612903,48.7804878,60.97560976,0.285714286,4
